,SVM,KStar,NaiveBayes,RandomSubspace,RandomForest,HoeffdingTree,NaiveBayes,AutoCorrelation,Dimensionality,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,NumberOfClasses,NumberOfFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures
epiparo_extract,0.9017373180929203,0.9049505923071518,0.8943203726145845,0.8435262465700292,0.9001011269642915,0.8603261381879854,0.879675693767109,0.3991031390134529,0.08928571428571429,24.54585636422177,7.604037750805466,2.2575196300999707,10.84829214994542,6.0,20.0,5.0,63.83928571428571,4.575892857142857,45.0,55.00000000000001
fri_c3_1000_50,0.937348,0.947468,0.713072,0.709606,0.721834,0.616338,0.919044,-0.11918388577823857,0.051,-1.0721258924180477,3.761024152329716e-11,0.03929706303438186,1.000000000153293,0.0,51.0,0.0,0.0,0.0,100.0,0.0
lung-cancer,0.717294,0.849887,0.699049,0.605798,0.692997,0.611283,0.692025,0.9354838709677419,1.78125,,,,,3.0,57.0,22.807017543859647,15.625,0.2741228070175438,0.0,100.0
fri_c3_100_10,0.853542,0.66875,0.54625,0.632083,0.68375,0.672292,0.760833,-0.15722613046464584,0.11,-0.7897063068669694,-5.251790908973723e-10,0.10322651733898781,1.0000000002930423,0.0,11.0,0.0,0.0,0.0,100.0,0.0
sponge,0.916667,0.636905,0.717857,0.82619,0.871429,0.761905,0.367857,0.92,0.5921052631578947,,,,,2.0,45.0,35.55555555555556,28.947368421052634,0.6432748538011697,0.0,100.0
arsenic-male-lung,1.0,0.961538,1.0,1.0,1.0,1.0,1.0,-1.4838709677419355,0.008944543828264758,52.45889546971373,6777.300313059002,5.044100326758857,52187.4760399379,0.0,5.0,0.0,0.0,0.0,80.0,20.0
synthetic_control,0.99976,0.998108,0.992745,0.99929,0.997883,0.999653,0.997377,0.991652754590985,0.10166666666666667,-0.5574061659983268,30.092165470408332,0.03400469950692755,9.75169124430971,6.0,61.0,0.0,0.0,0.0,98.36065573770492,1.639344262295082
thoracic-surgery,0.692893,0.625286,0.5,0.563196,0.631911,0.597804,0.597643,0.7398720682302772,0.036170212765957444,10.369463412635357,23.4614609929078,1.9958398518231513,7.115384655329787,2.0,17.0,64.70588235294117,0.0,0.0,17.647058823529413,82.35294117647058
allrep,0.993516,0.977683,0.489673,0.59374,0.964281,0.920872,0.992024,0.9368867674356934,0.007953340402969246,-0.7442829973266468,83.6192559208201,0.49683584841791695,58.92386973897926,4.0,30.0,63.33333333333333,0.0,0.0,20.0,80.0
waveform-5000,0.96693,0.945773,0.955811,0.955563,0.956091,0.942505,0.949661,0.3320664132826565,0.0082,-0.19641749321969915,0.8994882,0.03546827362426717,1.27111559694555,3.0,41.0,0.0,0.0,0.0,97.5609756097561,2.4390243902439024
ar4,0.821552,0.804023,0.721839,0.747989,0.823563,0.781609,0.727586,0.6981132075471698,0.2803738317757009,18.377073757815985,594.8054013132775,3.3574185348782017,1490.8075318664821,2.0,30.0,3.3333333333333335,0.0,0.0,96.66666666666667,3.3333333333333335
fri_c4_250_50,0.874428,0.849791,0.639871,0.547987,0.648567,0.585507,0.856779,-0.08087726836144628,0.204,-1.0325203548893014,-1.6704392639328737e-10,0.05986539791832971,1.0000000001107183,0.0,51.0,0.0,0.0,0.0,100.0,0.0
rabe_266,0.995823,0.954191,0.978558,0.978558,0.982735,0.994987,0.933723,-23.210084033613445,0.025,-1.1618081383659116,-8.016666666666676,-0.05635468332450706,33.833299220640725,0.0,3.0,0.0,0.0,0.0,100.0,0.0
disclosure_x_noise,0.454695,0.454832,0.546437,0.532599,0.532056,0.479312,0.506211,-31980.068868381262,0.006042296072507553,0.25313856188835593,18220.653410889492,0.1438542833749446,7497.0313728671945,0.0,4.0,0.0,0.0,0.0,100.0,0.0
artificial-characters,0.994435,0.718251,0.814729,0.833777,0.767575,0.961429,0.981955,0.9982382304003132,0.0007829320806420043,-0.03922173626081931,15.677500209713987,0.6738720824506701,9.504522285963239,10.0,8.0,0.0,0.0,0.0,87.5,12.5
fri_c2_500_5,0.973445,0.944548,0.738413,0.751586,0.747641,0.956592,0.931,-0.11071649179358631,0.012,-0.8786627898178792,-4.0260001856381084e-10,0.015318383004246889,1.0000000007992194,0.0,6.0,0.0,0.0,0.0,100.0,0.0
analcatdata_runshoes,0.788194,0.746528,0.797454,0.688079,0.787037,0.679398,0.782407,-0.3898305084745763,0.18333333333333332,0.14074461992582082,23.52755072463768,0.5078030678421117,10.706175610109542,0.0,11.0,45.45454545454545,23.333333333333332,2.1212121212121215,45.45454545454545,54.54545454545454
PizzaCutter3,0.836107,0.746678,0.490407,0.498362,0.755106,0.758957,0.79794,0.7754318618042226,0.0364333652924257,189.28477470067006,1243.5363382653989,9.458710345253484,11897.95378231515,2.0,38.0,2.631578947368421,0.0,0.0,97.36842105263158,2.631578947368421
eucalyptus,0.859728,0.859899,0.855109,0.894237,0.864908,0.847219,0.825989,0.39319727891156464,0.02717391304347826,62.86596625813314,390.0868288072735,2.551453016115177,172.61081562461396,5.0,20.0,0.0,12.907608695652172,3.0434782608695654,70.0,30.0
analcatdata_japansolvent,0.884444,0.881481,0.935556,0.888148,0.921481,0.942222,0.856296,0.9803921568627451,0.17307692307692307,8.966130687202481,0.14231802884615383,-1.8963170948661292,0.4923599948139881,2.0,9.0,11.11111111111111,0.0,0.0,88.88888888888889,11.11111111111111
cpu_act,0.982757,0.845839,0.775292,0.91955,0.94202,0.972063,0.977287,-14.015504822366012,0.002685546875,79.51358042941015,73907.62665072354,4.99767026571361,36701.75879027224,0.0,22.0,0.0,0.0,0.0,100.0,0.0
analcatdata_cyyoung9302,0.826244,0.820836,0.461428,0.858327,0.882841,0.793079,0.772891,0.5824175824175825,0.10869565217391304,-0.9046432624177283,57.84371025362319,-0.09091804228138604,33.43141612538051,2.0,10.0,30.0,0.0,0.0,60.0,40.0
